week,tracker,code,group_idx,unit_type,units,sold
2026-08-10,status13,30250-2,0,Rumah Pangsa/Kondo,333,333
2026-08-10,status13,30250-2,1,Rumah Pangsa/Kondo,328,326
2026-08-11,seputeh,32-16,0,Rumah Pangsa/Kondo,13,2
2026-08-11,seputeh,32-16,1,Rumah Pangsa/Kondo,13,5
2026-08-11,seputeh,32-16,2,Rumah Pangsa/Kondo,21,4
2026-08-11,seputeh,32-16,3,Rumah Pangsa/Kondo,27,10
2026-08-11,seputeh,32-16,4,Rumah Pangsa/Kondo,13,2
2026-08-11,seputeh,32-16,5,Rumah Pangsa/Kondo,12,2
2026-08-11,seputeh,32-16,6,Rumah Pangsa/Kondo,27,10
2026-08-11,seputeh,32-16,7,Rumah Pangsa/Kondo,20,7
2026-08-11,seputeh,30216-1,0,Pangsapuri Servis,154,33
2026-08-11,seputeh,30216-2,0,Pangsapuri Servis,490,44
2026-08-11,seputeh,31078-1,0,Rumah Berpagar & Berpengawal,48,45
2026-08-11,seputeh,31274-1,0,Rumah Pangsa/Kondo,244,1
2026-08-11,seputeh,2463-23,0,Rumah Pangsa/Kondo,293,213
2026-08-11,seputeh,2463-23,1,Rumah Pangsa/Kondo,140,61
2026-08-11,status13,13262-2,0,Pangsapuri Suite,747,36
2026-08-11,status13,13262-2,1,Pangsapuri Suite,797,285
2026-08-11,status13,30590-2,0,Soho,996,114
2026-08-11,status13,5911-33,0,Pangsapuri Servis,686,455
2026-08-11,status13,5911-33,1,Pangsapuri Servis,932,532
2026-08-11,status13,30363-2,0,Pangsapuri Suite,1218,1119
2026-08-11,status13,30821-1,0,Pangsapuri Suite,494,241
2026-08-11,status13,30821-1,1,Pangsapuri Suite,494,251
2026-08-11,status13,30366-1,0,Pangsapuri Servis,482,466
2026-08-11,status13,13074-4,0,Pangsapuri Servis,299,235
2026-08-11,status13,8824-5,0,Pangsapuri Servis,641,159
2026-08-11,status13,8824-5,1,Pangsapuri Servis,655,453
2026-08-11,status13,20253-3,0,Rumah Pangsa/Kondo,757,590
2026-08-11,status13,20253-3,1,Rumah Pangsa/Kondo,743,550
2026-08-11,status13,30876-1,0,Rumah Pangsa/Kondo,551,123
2026-08-11,status13,30250-2,0,Rumah Pangsa/Kondo,333,333
2026-08-11,status13,30250-2,1,Rumah Pangsa/Kondo,328,326
